SECURITY_ID_INT,raw_X,raw_Y,vertical,horizontal
1734,-106.512729799,223.595615016,large,value
1351,-95.7531553234,244.328817856,large,value
2228,-74.2313705072,318.054975896,large,value
2296,-57.797930543,394.503696716,large,value
1971,-50.8736156458,581.970419875,large,value
596,-48.2168413003,350.745189889,large,value
1768,-34.9122163856,264.474972075,large,value
599,-31.0746323969,369.757376718,large,value
1441,-27.4978062899,311.781602681,large,value
11293,-21.5709142543,327.138402942,large,value
2056,-19.6718185911,640.35376309,large,value
2196,-13.072380876,496.736475681,large,value
1540,-9.73334782416,292.741408913,large,value
2076,-9.5488530745,302.221132218,large,value
2139,-5.72073258436,319.502015005,large,value
3333,-4.4349935256,587.689287924,large,value
1287,-2.61098088865,235.501733664,large,value
601,-1.55507420004,459.172547441,large,value
1200,2.99904663072,229.421634447,large,value
30871,5.49651896835,277.656111585,large,value
30872,5.87139868535,230.468421402,large,value
342,8.93930004106,265.541541623,large,value
30866,10.5988036454,365.931225706,large,value
743,13.6323657909,254.565112857,large,value
786,16.0468798556,299.48391679,large,value
30868,17.4193171398,341.568720936,large,value
641,17.604047674,298.931719664,large,value
2116,19.5755341042,472.223538334,large,value
2517,24.7367785905,360.985807289,large,value
182,28.2521488845,259.153746403,large,value
2230,30.1409764032,275.875485967,large,value
603,31.2312036303,415.917068461,large,value
584,32.0303029967,476.433470804,large,value
737,36.1329559939,255.350146507,large,value
606,36.1921943581,217.941554116,large,value
2305,36.9955100151,627.475904595,large,value
3387,40.1002675507,425.75076395,large,value
609,48.7878577156,540.348561766,large,value
1471,48.798053813,202.110777801,large,value
1986,54.104486688,232.253726614,large,value
2,54.5468333086,432.316244193,large,value
1454,55.0277707459,251.621171822,large,value
608,59.4619293571,228.362170936,large,value
439,61.1370310388,250.477094211,large,value
180,61.2776631127,230.674135997,large,value
49,62.086051949,225.910694947,large,value
1475,63.8992166922,226.076925358,large,value
281,66.0507536002,234.661697944,large,value
2141,66.4771695058,458.355557731,large,value
947,67.5248054562,225.678981052,large,value
98,68.7488364013,297.926673428,large,value
1317,68.9432758069,283.054059315,large,value
487,69.4892533531,227.544608738,large,value
2122,70.7250351245,590.253377024,large,value
1530,70.8338169239,234.006714725,large,value
2415,71.3556067851,394.566584321,large,value
3415,73.6839773826,301.426065859,large,value
305,74.2119084321,211.482869123,large,value
829,75.4746392574,211.773269408,large,value
121,77.9537674369,262.0154801,large,value
454,77.9985152507,344.32110402,large,value
1210,80.0984997285,397.048688893,large,value
104,80.6245436534,259.977121334,large,value
1467,81.2944316249,234.15068144,large,value
597,81.4123326097,200.684780133,large,value
353,82.1513100795,212.063269647,large,value
1207,82.35330075,237.259176866,large,value
801,82.3543723501,260.042787066,large,value
903,85.7124642012,253.273286032,large,value
722,93.444506103,250.821141435,large,value
1336,93.5063773593,369.336161639,large,value
457,93.6638172605,285.331137245,large,value
970,94.6591426299,280.494615467,large,value
1042,95.4800771128,208.901035089,large,value
2504,95.6718918785,369.405391376,large,value
2409,96.7356743212,331.27668229,large,value
505,97.1100037945,217.956453494,large,value
1980,97.8928227693,384.025301237,large,value
3282,99.7473403694,215.605708908,large,value
3837,100.0,365.743053602,large,core
278,100.06558134,445.219594848,large,core
684,100.549648974,242.69410267,large,core
445,101.367405497,246.664047969,large,core
110,102.427864411,255.57857088,large,core
203,102.704761823,239.76374756,large,core
30764,103.902902836,345.912858994,large,core
90,104.51733739,323.494374076,large,core
624,105.332529063,416.121236097,large,core
2954,107.562090214,249.29842277,large,core
679,108.536033218,477.615252822,large,core
864,109.598261548,236.998200136,large,core
2478,110.285999905,312.694453689,large,core
1154,111.209182795,207.174560931,large,core
323,113.968503262,275.819214733,large,core
654,114.327222499,226.387368614,large,core
3392,114.662199193,233.437230556,large,core
262,114.851143522,310.583953603,large,core
4134,115.050080262,279.570667204,large,core
954,117.12824239,305.13235016,large,core
