security-id,security-name,cost-per-share,current-value-per-share,trade_date,holdings,hold-share
001542,国泰互联网,1.6654,1.7330,2019-09-16,2913.71,1681.31
000216,华安易富黄金ETF,1.0416,1.2626,2019-09-16,1769.79,1401.70
040014,华安行业轮动混合,1.4317,1.7355,2019-09-16,2311.29,1331.77
000071,华夏恒生ETF,1.4976,1.5257,2019-09-16,1018.77,667.74
000478,建信中证500指数增强A,2.0386,2.0542,2019-09-16,2128.95,1036.39
001158,工银新材料新能源行业股票,0.6613,0.7080,2019-09-16,1820.09,2570.75
001410,信达澳银新能源产业股票,1.4419,2.0400,2019-09-16,1821.50,892.89
000960,招商医药健康产业股票,1.1584,1.5130,2019-09-16,2525.15,1668.97
161810,银华内需精选混合,1.4703,1.9990,2019-09-16,2991.04,1496.27
166005,中欧价值发现混合A,1.6286,1.5860,2019-09-16,3018.86,1903.44
110021,易方达上证中盘ETF连接A,1.2954,1.3826,2019-09-16,2561.54,1852.70
001542,国泰互联网,1.6756,1.7180,2019-12-27,3896.13,2267.83
161810,银华内需精选混合,1.5901,2.2030,2019-12-27,4156.33,1886.67
001410,信达澳银新能源产业股票,1.6227,2.3500,2019-12-27,3022.97,1286.37
000478,建信中证500指数增强A,2.0234,2.0415,2019-12-27,2938.86,1439.56
166005,中欧价值发现混合A,1.6100,1.6216,2019-12-27,3928.05,2422.33
110021,易方达上证中盘ETF连接A,1.3057,1.3658,2019-12-27,3974.89,2910.30
040014,华安行业轮动混合,1.5239,1.8616,2019-12-27,3306.39,1776.10
000216,华安易富黄金ETF,1.0988,1.2423,2019-12-27,2441.99,1965.70
000960,招商医药健康产业股票,1.2592,1.5520,2019-12-27,3368.85,2170.65
000071,华夏恒生ETF,1.4976,1.5602,2019-12-27,1041.81,667.74
001158,工银新材料新能源行业股票,0.6726,0.7420,2019-12-27,2647.64,3568.25
