predict_date,predict_power_consumption
20161001,2971108
20161002,2999579
20161003,3254606
20161004,3486908
20161005,3595816
20161006,3685012
20161007,3741988
20161008,3717275
20161009,3415394
20161010,3646960
20161011,3668198
20161012,3682287
20161013,3654987
20161014,3640109
20161015,3557969
20161016,3473891
20161017,3698369
20161018,3738933
20161019,3746341
20161020,3849194
20161021,3905913
20161022,3858955
20161023,3531194
20161024,3876675
20161025,3894938
20161026,3904570
20161027,3921773
20161028,3875935
20161029,3710638
20161030,3491913
20161031,3708245
