predict_date,predict_power_consumption
20160901,3638640
20160902,3557499
20160903,3471425
20160904,3471425
20160905,3638640
20160906,3638640
20160907,3638640
20160908,3711245
20160909,3630104
20160910,3654846
20160911,3654846
20160912,3822061
20160913,3857213
20160914,3926914
20160915,3961120
20160916,3879979
20160917,3772633
20160918,3772633
20160919,3939847
20160920,3939847
20160921,3984296
20160922,4013991
20160923,3932850
20160924,3802328
20160925,3802328
20160926,4013991
20160927,4013991
20160928,4013991
20160929,4013991
20160930,3932850
