predict_date,predict_power_consumption
20161001,3166375
20161002,3188734
20161003,3386169
20161004,3585313
20161005,3659658
20161006,3717188
20161007,3764939
20161008,3744740
20161009,3479197
20161010,3701230
20161011,3724664
20161012,3733316
20161013,3714607
20161014,3691813
20161015,3635947
20161016,3569957
20161017,3759203
20161018,3790632
20161019,3794514
20161020,3863834
20161021,3917814
20161022,3855576
20161023,3592605
20161024,3917067
20161025,3923188
20161026,3927054
20161027,3937715
20161028,3903878
20161029,3763474
20161030,3598829
20161031,3758575
