power_consumption,dow,doy,day,month,year,season,month_period,week_period
2900464.0,6,60,1,3,2015,2,1,1
3334082.0,0,61,2,3,2015,2,1,1
3492606.0,1,62,3,3,2015,2,1,1
3597890.0,2,63,4,3,2015,2,1,1
1798044.0,3,64,5,3,2015,2,1,1
1787992.0,4,65,6,3,2015,2,1,1
3559113.0,5,66,7,3,2015,2,1,1
2972454.0,6,67,8,3,2015,2,1,2
3772564.0,0,68,9,3,2015,2,1,2
3868938.0,1,69,10,3,2015,2,1,2
3881363.0,2,70,11,3,2015,2,2,2
3935078.0,3,71,12,3,2015,2,2,2
3845654.0,4,72,13,3,2015,2,2,2
3941246.5,5,73,14,3,2015,2,2,2
3710792.0,6,74,15,3,2015,2,2,3
3736062.0,0,75,16,3,2015,2,2,3
3862429.0,1,76,17,3,2015,2,2,3
3809448.0,2,77,18,3,2015,2,2,3
3294148.0,3,78,19,3,2015,2,2,3
2659507.0,4,79,20,3,2015,2,2,3
3097831.0,5,80,21,3,2015,2,3,3
3153864.0,6,81,22,3,2015,2,3,4
3793539.0,0,82,23,3,2015,2,3,4
3886598.0,1,83,24,3,2015,2,3,4
3946979.0,2,84,25,3,2015,2,3,4
3978091.0,3,85,26,3,2015,2,3,4
3505012.0,4,86,27,3,2015,2,3,4
3641733.0,5,87,28,3,2015,2,3,4
3489199.0,6,88,29,3,2015,2,3,4
3792338.0,0,89,30,3,2015,2,3,4
3799367.0,1,90,31,3,2015,2,3,4
3878931.0,2,91,1,4,2015,2,1,1
3895444.0,3,92,2,4,2015,2,1,1
3917458.0,4,93,3,4,2015,2,1,1
3701865.0,5,94,4,4,2015,2,1,1
3077103.0,6,95,5,4,2015,2,1,1
3396784.0,0,96,6,4,2015,2,1,1
3955773.0,1,97,7,4,2015,2,1,1
3933520.0,2,98,8,4,2015,2,1,2
3934117.0,3,99,9,4,2015,2,1,2
3841726.0,4,100,10,4,2015,2,1,2
3757337.0,5,101,11,4,2015,2,2,2
3471838.0,6,102,12,4,2015,2,2,2
3794991.0,0,103,13,4,2015,2,2,2
3886747.0,1,104,14,4,2015,2,2,2
3883621.0,2,105,15,4,2015,2,2,3
3858169.0,3,106,16,4,2015,2,2,3
3720202.0,4,107,17,4,2015,2,2,3
3618044.0,5,108,18,4,2015,2,2,3
3592993.5,6,109,19,4,2015,2,2,3
3694081.0,0,110,20,4,2015,2,2,3
3785960.0,1,111,21,4,2015,2,3,3
3822967.0,2,112,22,4,2015,2,3,4
3907020.0,3,113,23,4,2015,2,3,4
3854392.0,4,114,24,4,2015,2,3,4
3801188.0,5,115,25,4,2015,2,3,4
3606876.0,6,116,26,4,2015,2,3,4
3827721.0,0,117,27,4,2015,2,3,4
3922191.5,1,118,28,4,2015,2,3,4
3903749.0,2,119,29,4,2015,2,3,4
3807190.0,3,120,30,4,2015,2,3,4
2893128.0,4,121,1,5,2015,3,1,1
2988003.0,5,122,2,5,2015,3,1,1
3501631.0,6,123,3,5,2015,3,1,1
3785149.0,0,124,4,5,2015,3,1,1
3908821.0,1,125,5,5,2015,3,1,1
